RECORD #(BIBLIO),TITLE,AUTHOR,008 Date One,260|b,260|c,CALL #(BIBLIO),TOT CHKOUT,LOUTDATE
b48724099,"Networks, crowds, and markets : reasoning about a highly connected world / David Easley, Jon Kleinberg.","Easley, David.",2010,"Cambridge University Press,",2010,HM851 .E24 2010,18,10/1/2013 13:32
b29754458,Smart mobs : the next social revolution / Howard Rheingold.,"Rheingold, Howard.",2002,"Perseus Publishing,",2002,HM851 .R47 2002,16,3/23/2011 10:41
b23624917,The survey kit,,1995,"Sage Publications,",c1995,HN29 .S724 1995,14,4/26/2013 11:07
b23624917,The survey kit,,1995,"Sage Publications,",c1995,HN29 .S724 1995,11,4/26/2013 11:07
b24268094,The time bind : when work becomes home and home becomes work / Arlie Russell Hochschild.,"Hochschild, Arlie Russell, 1940-",1997,"Metropolitan Books,",1997,HQ536 .H633 1997,16,7/8/2011 11:06
b28814691,"Empire / Michael Hardt, Antonio Negri.","Hardt, Michael.",2001,"Harvard University Press,","2001, c2000.",JC359 .H279 2001,28,3/14/2013 12:22
b35630796,"Intellectual property : patents, trademarks, and copyright in a nutshell / by Arthur R. Miller, Michael H. Davis.","Miller, Arthur R. (Arthur Raphael), 1934-",2000,"West Group,",2000,KF2980 .M52 2000,12,9/16/2013 11:07
b28835505,"The entrepreneur's guide to business law / Constance E. Bagley, Craig E. Dauchy.","Bagley, Constance E.",1998,"West Educational Pub. Co.,",c1998.,KF390.B84 B34 1998,16,8/19/2013 8:20
b27976683,"The entrepreneur's guide to business law / Constance E. Bagley, Craig E. Dauchy.","Bagley, Constance E.",2003,"Thomson/South-western/West,",c2003.,KF390.B84 B34 2003,14,1/7/2014 14:29
b43808918,"The entrepreneur's guide to business law / Constance E. Bagley, Craig E. Dauchy.","Bagley, Constance E.",2008,"Thomson/West,",c2008.,KF390.B84 B34 2008,11,3/17/2014 12:57
b28580072,Taxes and business strategy : a planning approach / Myron S. Scholes ... [et al.].,,2002,"Prentice Hall,",c2002.,KF6450 .S33 2002,55,3/31/2014 12:08
b33425504,Taxes and business strategy : a planning approach / Myron S. Scholes ... [et al.].,,2005,"Pearson Prentice Hall,",c2005.,KF6450 .S33 2005,18,4/8/2014 11:51
b46311646,Taxes and business strategy : a planning approach / Myron S. Scholes ... [et al.].,,2009,"Pearson Prentice Hall,",c2009.,KF6450 .S33 2009,16,3/29/2014 11:56
b29888670,Managers and the legal environment : strategies for the 21st century / Constance E. Bagley.,"Bagley, Constance E.",2002,"West/Thomson Learning,",c2002.,KF889 .B255 2002,23,3/24/2014 12:31
b37035988,"Managers and the legal environment : strategies for the 21st century / Constance E. Bagley, Diane W. Savage.","Bagley, Constance E.",2006,"Thomson/West,",c2006.,KF889 .B255 2006,23,7/9/2014 10:07
b47272818,"Managers and the legal environment : strategies for the 21st century / Constance E. Bagley, Diane W. Savage.","Bagley, Constance E.",2010,"South-Western Cengage Learning,",c2010.,KF889 .B255 2010,12,4/9/2014 11:16
b53586566,Managers and the legal environment : strategies for the 21st century / Constance E. Bagley.,"Bagley, Constance E.",2013,"South-Western Cengage Learning,",c2013.,KF889 .B255 2013,108,8/20/2014 8:35
b29508836,"Speech and language processing : an introduction to natural language processing, computational linguistics, and speech recognition / Daniel Jurafsky and James H. Martin.","Jurafsky, Dan, 1962-",2000,Prentice Hall,2000,P98 .J87 2000,26,5/7/2014 11:11
b23828365,The pyramid principle : logic in writing and thinking / Barbara Minto.,"Minto, Barbara.",1995,"Pitman Publishing,",1995,PE1115 .M54 1995,25,3/24/2014 11:35
b27146315,"The elements of style / by William Strunk, Jr.   with revisions, an introduction, and a chapter on writing by E.B. White   [foreword by Roger Angell].","Strunk, William, 1869-1946.",1999,"Allyn and Bacon,",c1999.,PE1408 .S772 1999,13,11/19/2012 15:49
b2675843x,Style : ten lessons in clarity and grace / Joseph M. Williams.,"Williams, Joseph M.",1997,"Longman,",c1997.,PE1421 .W545 1997,14,11/19/2012 15:51
b26758283,On writing well : the classic guide to writing nonfiction / William Zinsser.,"Zinsser, William Knowlton.",1998,"HarperPerennial,",c1998.,PE1429 .Z5 1998,18,9/16/2013 17:50
b26758416,"The Minto pyramid principle : logic in writing, thinking, and problem solving / Barbara Minto.","Minto, Barbara.",1996,"Minto International,",c1996.,PE1479.B87 M56 1996,32,7/7/2014 17:14
b22529330,The goal : a process of ongoing improvement / by Eliyahu M. Goldratt and Jeff Cox,"Goldratt, Eliyahu M., 1947-2011.",1992,"North River Press,",c1992,PR9510.9.G64 G6 1992,36,9/2/2014 19:32
b23881021,Lifting the veil : the feminine face of science / Linda Jean Shepherd.,"Shepherd, Linda Jean.",1993,"Shambhala,",1993,Q130 .S48 1993,11,2/27/2012 15:47
b15683369,Leadership and the new science : learning about organization from an orderly universe / Margaret J. Wheatley,"Wheatley, Margaret J.",1992,"Berrett-Koehler Publishers,",c1992,Q158.5 .W43 1992,23,8/8/2014 10:57
b1230038x,Complexity: the emerging science at the edge of order and chaos / M. Mitchell Waldrop,"Waldrop, M. Mitchell.",1992,"Simon & Schuster,",c1992,Q175 .W258 1992,24,5/28/2013 12:18
b26361413,Scientific computing : an introductory survey / Michael T. Heath.,"Heath, Michael T.",1997,"McGraw-Hill,",c1997.,Q183.9 .H4 1997,11,9/14/2012 9:33
b26914177,Getting started with MATLAB 5 : a quick introduction for scientists and engineers / Rudra Pratap.,"Pratap, Rudra, 1964-",1999,"Oxford University Press,",1999,Q183.9 .P73 1999,16,5/2/2011 16:35
b29443702,Getting started with MATLAB : a quick introduction for scientists and engineers / Rudra Pratap.,"Pratap, Rudra, 1964-",2002,"Oxford University Press,",2002,Q183.9 .P74 2002,15,5/28/2010 17:40
b38374869,An introduction to Support Vector Machines : and other kernel-based learning methods / Nello Cristianini and John Shawe-Taylor.,"Cristianini, Nello.",2000,"Cambridge University Press,",2000,Q325.5 .C75 2000,10,8/14/2013 14:27
b25497170,"An introduction to computational learning theory / Michael J. Kearns, Umesh V. Vazirani.","Kearns, Michael J.",1994,"MIT Press,",c1994.,Q325.5 .K44 1994,21,9/3/2014 11:37
b53194330,Machine learning : a probabilistic perspective / Kevin P. Murphy.,"Murphy, Kevin P., 1970-",2012,"MIT Press,",c2012.,Q325.5 .M87 2012,10,7/1/2014 10:58
b12205746,Artificial intelligence / Patrick Henry Winston,"Winston, Patrick Henry.",1992,"Addison-Wesley Pub. Co.,",c1992,Q335 .W56 1992,15,12/21/2011 15:01
b23437753,"Linear algebra and matrix theory / Jimmie Gilbert, Linda Gilbert","Gilbert, Jimmie, 1934-",1995,"Academic Press,",c1995,QA184 .G525 1995,14,1/4/2012 16:26
b23610505,Fuzzy sets and fuzzy logic : theory and applications / George J. Klir and Bo Yuan,"Klir, George J., 1932-",1995,"Prentice Hall PTR,",c1995,QA248 .K487 1995,10,1/31/2012 11:57
b25845962,Probability and statistics for engineering and the sciences / Jay L. Devore.,"Devore, Jay L.",1995,"Duxbury Press,",c1995.,QA273 .D46 1995,60,9/7/2012 10:14
b31424788,Probability and statistics for engineering and the sciences / Jay L. Devore.,"Devore, Jay L.",2004,"Thomson-Brooks/Cole,",c2004.,QA273 .D46 2004,24,4/27/2013 10:42
b4895777x,"Probability and statistical inference / Robert V. Hogg, Elliot A. Tanis.","Hogg, Robert V.",2010,"Prentice Hall,",c2010.,QA273 .H694 2010,20,4/28/2014 11:20
b27872713,Introduction to probability models / Sheldon M. Ross.,"Ross, Sheldon M.",1997,"Academic Press,",c1997.,QA273 .R84 1997,21,1/29/2013 15:59
b48959169,Introduction to probability models / Sheldon M. Ross.,"Ross, Sheldon M.",2010,"Academic Press,",c2010.,QA273 .R84 2010,11,8/7/2014 10:51
b53515894,"Introduction to probability and stochastic processes with applications / Liliana Blanco Castaneda, Viswanathan Arunachalam, Selvamuthu Dharmaraja.","Blanco Castaûñeda, Liliana.",2012,"Wiley,",2012,QA274 .B53 2012,15,3/10/2013 15:27
b47346516,"Applied statistics and probability for engineers / Douglas C. Montgomery, George C. Runger.","Montgomery, Douglas C.",2011,"John Wiley & Sons,",c2011.,QA276 .M645 2011,11,9/18/2013 11:48
b3835732x,"Applied statistics and probability for engineers / Douglas C. Montgomery, George C. Runger.","Montgomery, Douglas C.",2007,"Wiley,",c2007.,QA276.12 .M645 2007,19,7/9/2013 12:37
b27870509,Mathematical statistics and data analysis / John A. Rice.,"Rice, John A., 1944-",1995,"Duxbury Press,",c1995.,QA276.12 .R53 1995,30,12/22/2011 14:56
b49873362,"Visualize this : the FlowingData guide to design, visualization, and statistics / Nathan Yau.","Yau, Nathan.",2011,"Wiley Pub.,",c2011.,QA276.3 .Y18 2011,10,11/11/2013 12:52
b37026148,An introduction to the bootstrap / Bradley Efron and Robert J. Tibshirani.,"Efron, Bradley.",1993,"Chapman & Hall,",c1993.,QA276.8 .E3745 1993,16,9/30/2011 10:39
b12437529,"Data reduction and error analysis for the physical sciences / Philip R. Bevington, D. Keith Robinson","Bevington, Philip R., 1933-",1992,"McGraw-Hill,",1992,QA278 .B48 1992,21,3/17/2014 12:56
b26879530,"Applied regression analysis / Norman R. Draper, Harry Smith.","Draper, Norman Richard.",1998,"Wiley,",c1998.,QA278.2 .D7 1998,20,9/26/2012 11:05
b33936948,Design and analysis of experiments / Douglas C. Montgomery.,"Montgomery, Douglas C.",2005,"John Wiley & Sons,",c2005.,QA279 .M66 2005,13,4/14/2013 13:38
b44165705,Design and analysis of experiments / Douglas C. Montgomery.,"Montgomery, Douglas C.",2009,"Wiley,",c2009.,QA279 .M66 2009,15,5/29/2014 15:21
b27955655,"Understanding industrial designed experiments / Stephen R. Schmidt, Robert G. Launsby   edited by Mark J. Kiemele.","Schmidt, Stephen R.",2000,"Air Academy Press,",c2000.,QA279 .S36 2000,11,12/21/2012 9:41
b4904946x,Doing bayesian data analysis : a tutorial with R and BUGS / John K. Kruschke.,"Kruschke, John K.",2011,"Academic Press,",c2011.,QA279.5 .K79 2011,13,6/23/2014 11:23
b22529366,"Numerical analysis / Richard L. Burden, J. Douglas Faires","Burden, Richard L.",1993,"PWS-Kent Pub. Co.,",c1993,QA297 .B84 1993,104,9/22/2014 15:01
b27890168,"Numerical analysis / Richard L. Burden, J. Douglas Faires.","Burden, Richard L.",1997,"Brooks/Cole Pub. Co.,",c1997.,QA297 .B84 1997,38,11/15/2013 13:59
b28887530,"Numerical analysis / Richard L. Burden, J. Douglas Faires.","Burden, Richard L.",2001,"Brooks/Cole,",c2001.,QA297 .B84 2001,35,9/16/2014 13:13
b33044752,Applied numerical methods with MATLAB for engineers and scientists / Steven C. Chapra.,"Chapra, Steven C.",2005,"McGraw-Hill Higher Education,",c2005.,QA297 .C4185 2005,13,11/15/2013 13:59
b33920916,MATLAB : an introduction with applications / Amos Gilat.,"Gilat, Amos.",2005,"John Wiley,",c2005.,QA297 .G48 2005,19,11/15/2013 13:59
b29943255,MATLAB for engineers explained / Fredrik Gustafsson and Niclas Bergman.,"Gustafsson, Fredrik.",2003,"Springer,",c2003.,QA297 .G87 2003,14,4/27/2014 15:31
b37033256,"Mastering MATLAB 7 / Duane Hanselman, Bruce Littlefield.","Hanselman, Duane C.",2005,"Pearson/Prentice Hall,",c2005.,QA297 .H293 2005,13,2/10/2014 11:19
b27892335,Numerical methods / Robert W. Hornbeck.,"Hornbeck, Robert W.",1975,"Prentice-Hall,",c1975.,QA297 .H59 1975,44,9/17/2013 14:42
b32729005,"Numerical methods using MATLAB / John H. Mathews, Kurtis D. Fink.","Mathews, John H., 1943-",2004,Pearson,c2004.,QA297 .M39 2004,11,1/5/2014 10:26
b34943018,Numerical computing with MATLAB / Cleve B. Moler.,"Moler, Cleve B.",2004,"Society for Industrial and Applied Mathematics,",c2004.,QA297 .M625 2004,14,9/22/2011 15:08
b28112477,Introduction to MATLAB for engineers / William J. Palm III.,"Palm, William J. (William John), 1944-",1997,"WCB/McGraw-Hill,",c1998.,QA297 .P32 1998,22,3/11/2013 8:41
b23639350,Getting started with MATLAB : a quick introduction for scientists and engineers / Rudra Pratap,"Pratap, Rudra, 1964-",1996,"Saunders College Pub.,",c1996,QA297 .P91 1996,33,2/6/2013 10:55
b36508652,"Einfû§hrung in die numerische Mathematik. English;""Introduction to numerical analysis / J. Stoer, R. Bulirsch   translated by R. Bartels, W. Gautschi, and C. Witzgall.""","Stoer, Josef.",2002,"Springer,",c2002.,QA297 .S8213 2002,13,1/19/2012 11:47
b26401162,"The Student edition of MATLAB : version 5, user's guide / The MathWorks, Inc.   by Duane Hanselman and Bruce Littlefield.",,1997,"Prentice Hall,",c1997.,QA297 .S8436 1997,10,9/22/2011 15:08
b29552679,"Calculus : early transcendentals. Selections;""Multivariable calculus with matrices / C. Henry Edwards, David E. Penney.""","Edwards, C. Henry (Charles Henry), 1937-",2002,"Prentice Hall,",c2002.,QA303.2 .E375 2002,13,12/22/2011 16:06
b29443805,A MATLAB companion for multivariable calculus / Jeffery Cooper.,"Cooper, Jeffery.",2001,"Harcourt/Academic Press,",c2001.,QA303.5.D37 C66 2001,16,7/8/2013 13:30
b24028502,"Complex analysis for mathematics and engineering / John H. Mathews, Russell W. Howell.","Mathews, John H., 1943-",1996,"Wm. C. Brown,",c1996.,QA331.7 .M38 1996,13,9/28/2011 18:19
b23605625,Complex variables with applications / A. David Wunsch,"Wunsch, A. David.",1994,"Addison-Wesley Pub. Co.,",c1994,QA331.7 .W86 1994,29,10/4/2011 10:29
b28126130,"Advanced mathematical methods for scientists and engineers / Carl M. Bender, Steven A. Orszag.","Bender, Carl M., 1943-",1999,"Springer,",1999,QA371 .B43 1999,36,9/4/2013 11:50
b22677689,"The fundamentals of grid generation / Patrick M. Knupp, Stanly Steinberg","Knupp, Patrick M.",1993,"CRC Press,",c1993,QA377 .K58 1993,11,8/11/2010 12:25
b36359749,Advanced engineering mathematics / Erwin Kreyszig.,"Kreyszig, Erwin.",2006,"John Wiley,",c2006.,QA401 .K7 2006,22,12/11/2013 10:52
b13787810,Mathematical methods of physics [by] Jon Mathews [and] R. L. Walker,"Mathews, Jon.",1970,"W. A. Benjamin,",1970,QA401 .M42 1970,14,4/26/2010 17:43
b33911162,Linear system theory and design / Chi-Tsong Chen.,"Chen, Chi-Tsong.",1999,"Oxford University Press,",c1999.,QA402 .C44 1999,12,1/31/2012 11:56
b26632330,System identification : theory for the user / Lennart Ljung.,"Ljung, Lennart.",1999,"Prentice Hall,",c1999.,QA402 .L59 1999,21,6/17/2014 11:08
b24099971,"Signals & systems / Alan V. Oppenheim, Alan S. Willsky, with S. Hamid Nawab.","Oppenheim, Alan V., 1937-",1997,"Prentice Hall,",c1997.,QA402 .O63 1996,29,1/27/2014 11:57
b27192738,"Nonlinear systems : analysis, stability, and control / Shankar Sastry.","Sastry, Shankar.",1999,"Springer,",c1999.,QA402 .S35157 1999,13,1/27/2010 17:41
b22251765,Introduction to control theory / O.L.R. Jacobs,"Jacobs, O. L. R.",1993,"Oxford University Press,",1993,QA402.3 .J29 1993,10,1/15/2011 13:11
b23793326,An introduction to optimization / Edwin K.P. Chong and Stanislaw H. ÷¦ak.,"Chong, Edwin Kah Pin.",1996,"Wiley,",c1996.,QA402.5 .C476 1996,13,10/7/2011 15:50
b22503766,Practical methods of optimization / R. Fletcher,"Fletcher, R. (Roger)",1987,"Wiley,",c1987,QA402.5 .F57 1987,19,11/29/2011 10:14
b21334079,Optimization by vector space methods [by] David G. Luenberger,"Luenberger, David G., 1937-",1968,Wiley,"[1968, c1969]",QA402.5 .L8,20,5/5/2014 11:16
b27188401,"Iterative computer algorithms with applications in engineering : solving combinatorial optimization problems / Sadiq M. Sait, Habib Youssef.","Sait, Sadiq M., 1957-",1999,"IEEE Computer Society,",c1999.,QA402.5 .S23 1999,11,10/29/2013 11:17
b23337977,A friendly guide to wavelets / Gerald Kaiser,"Kaiser, Gerald.",1994,"Birkhû?user,",1994,QA403.3 .K35 1994,19,7/14/2011 11:30
b24001077,Essential wavelets for statistical applications and data analysis / R. Todd Ogden.,"Ogden, R. Todd, 1965-",1997,"Birkhû?user,",1997,QA403.3 .O43 1997,11,9/3/2010 11:02
b29015017,Nonlinear systems / Hassan K. Khalil.,"Khalil, Hassan K., 1950-",2002,"Prentice Hall,",c2002.,QA427 .K48 2002,11,1/23/2014 12:03
b26117320,"Div, grad, curl, and all that : an informal text on vector calculus / H.M. Schey.","Schey, H. M. (Harry Moritz), 1930-",1997,"W.W. Norton,",c1997.,QA433 .S28 1997,25,4/12/2013 8:26
b27932229,"Introduction to computing systems : from bits and gates to C and beyond / Yale N. Patt, Sanjay J. Patel.","Patt, Yale N.",2001,"McGraw Hill,",c2001.,QA76 .P367 2001,28,8/29/2014 13:21
b26999663,Dealers of lightning : Xerox PARC and the dawn of the computer age / Michael Hiltzik.,"Hiltzik, Michael A.",1999,"HarperBusiness,",c1999.,QA76.27 .H55 1999,12,9/3/2013 14:17
b27140167,"Parallel computer architecture : a hardware/software approach / David E. Culler, Jaswinder Pal Singh, with Anoop Gupta.","Culler, David E.",1999,"Morgan Kaufmann Publishers,",c1999.,QA76.58 .C85 1999,13,2/13/2012 11:24
b37033232,"A first book of ANSI C / Gary J. Bronson   Andy Hurd, contributing editor.","Bronson, Gary J.",2007,"Thomson Course Technology,",c2007.,QA76.73.C15 B74 2007,14,12/10/2012 15:43
b33920898,C primer plus / Stephen Prata.,"Prata, Stephen.",2005,"Sams,",c2005.,QA76.73.C15 P733 2005,11,1/28/2014 11:25
b24185127,Programming in C with numerical methods for engineers / K.B. Rojiani.,"Rojiani, Kamal B.",1996,"Prentice Hall,",c1996.,QA76.73.C15 R65 1996,13,1/4/2010 17:36
b22837802,Expert C programming! / Peter van der Linden,"Van der Linden, Peter.",1994,"SunSoft Press,",1994,QA76.73.C15 V356 1994,21,10/11/2013 15:01
b24179218,Essential C++ for engineers and scientists / Jeri R. Hanly.,"Hanly, Jeri R.",1997,"Addison-Wesley,",c1997.,QA76.73.C153 H36 1997,21,7/27/2011 7:09
b38972207,Data structures and algorithm analysis in C++ / Mark Allen Weiss.,"Weiss, Mark Allen.",2006,"Pearson Addison-Wesley,",c2006.,QA76.73.C153 W46 2006,15,8/6/2013 17:01
b29052245,"Java software solutions : foundations of program design / John Lewis, William Loftus.","Lewis, John, Ph.D.",2001,"Addison Wesley Longman,",c2001.,QA76.73.J38 L49 2001,14,4/2/2011 16:18
b31035322,"Java software solutions : foundations of program design / John Lewis, William Loftus.","Lewis, John, 1963-",2005,"Pearson/Addison Wesley,",c2005.,QA76.73.J38 L49 2005,18,9/23/2013 19:56
b29584036,"The mythical man-month : essays on software engineering / Frederick P. Brooks, Jr.","Brooks, Frederick P., Jr., 1931-",1995,"Addison-Wesley Pub. Co.,",1995,QA76.758 .B75 1995,18,9/23/2013 11:18
b27806509,Software engineering : a practitioner's approach / Roger S. Pressman.,"Pressman, Roger S.",2001,"McGraw-Hill,",c2001.,QA76.758 .P75 2001,11,11/1/2010 21:48
b29584073,Programming with GNU software / Mike Loukides and Andy Oram.,"Loukides, Michael Kosta.",1997,"O'Reilly & Associates,",c1997.,QA76.76.O63 L65 1997,11,8/21/2014 14:22
b26632366,Unix clearly explained / Richard Petersen.,"Petersen, Richard, 1949-",1999,"AP Professional,",1999,QA76.76.O63 P524 1999,13,8/15/2010 15:09
b27188267,Linux in a nutshell : a desktop quick reference / Ellen Siever.,"Siever, Ellen.",1999,"O'Reilly,",1999,QA76.76.O63 S4 1999,17,1/17/2010 14:02
b12231939,Advanced programming in the UNIX environment / W. Richard Stevens,"Stevens, W. Richard.",1992,"Addison-Wesley Pub. Co.,",c1992,QA76.76.O63 S754 1992,26,9/10/2012 11:38
b2958405x,"Pthreads programming / Bradford Nichols, Dick Buttlar, and Jacqueline Proulx Farrell.","Nichols, Bradford.",1998,"O'Reilly,","1998, c1996.",QA76.76.T55 N53 1998,19,8/21/2014 14:22
b23595796,Neuro-dynamic programming / Dimitri P. Bertsekas and John N. Tsitsiklis.,"Bertsekas, Dimitri P.",1996,"Athena Scientific,",c1996.,QA76.87 .B477 1996,18,2/7/2014 11:43
b23624929,"Neural network fundamentals with graphs, algorithms, and applications / Nirmal K. Bose, Ping Liang","Bose, N. K. (Nirmal K.), 1940-",1996,"McGraw-Hill,",1996,QA76.87 .B68 1996,13,9/6/2012 12:41
b26361383,Artificial neural networks / Robert J. Schalkoff.,"Schalkoff, Robert J.",1997,"McGraw-Hill,",c1997.,QA76.87 .S3 1997,10,6/10/2011 16:40
b26835599,The algorithm design manual / Steven S. Skiena.,"Skiena, Steven S.",1998,"TELOS--the Electronic Library of Science,",c1998.,QA76.9.A43 S55 1998,15,2/5/2013 21:58
b26963826,"Readings in computer architecture / Mark D. Hill, Norman P. Jouppi, Gurindar S. Sohi.","Hill, Mark D. (Mark Donald)",2000,"Morgan Kaufmann,",c2000.,QA76.9.A73 H55 2000,70,9/10/2012 20:02
b29611052,"Computer architecture / John L. Hennessy, David A. Patterson   with contributions by David Goldberg, Krste Asanovic.","Hennessy, John L.",2002,"Morgan Kaufmann Publishers,",2003 [i.e. 2002],QA76.9.A73 P377 2002,69,9/18/2012 11:34
b43818328,"Computer architecture : a quantitative approach / John L. Hennessy, David A. Patterson   with contributions by Andrea C. Arpaci-Dusseau ... [et al.].","Hennessy, John L.",2007,"Morgan Kaufmann,",2007,QA76.9.A73 P377 2007,10,3/21/2014 16:29
b3140523x,"Simulation modeling and analysis / Averill M. Law, W. David Kelton.","Law, Averill M.",2000,"McGraw-Hill,",c2000.,QA76.9.C65 L38 2000,17,9/9/2013 11:33
b24166170,"Database system concepts / Abraham Silberschatz, Henry F. Korth, S. Sudarshan.","Silberschatz, Abraham.",1997,"McGraw-Hill,",1997,QA76.9.D3 S5737 1997,16,12/21/2012 16:10
b22853042,"Designing visual interfaces : communication oriented techniques / Kevin Mullet, Darrell Sano","Mullet, Kevin.",1995,"SunSoft Press,",c1995,QA76.9.U83 M85 1995,10,6/14/2012 10:36
b23605649,A first course in continuum mechanics : for physical and biological engineers and scientists / Y.C. Fung,"Fung, Y. C. (Yuan-cheng), 1919-",1994,"Prentice Hall,",c1994,QA808 .F86 1994,19,9/9/2013 11:35
b22571656,"Introduction to continuum mechanics / W. Michael Lai, David Rubin, Erhard Krempl","Lai, W. Michael, 1930-",1993,"Pergamon Press,",1993,QA808.2 .L3 1993,15,2/29/2012 12:17
b27221672,Continuum mechanics for engineers / G.Thomas Mase and George E. Mase.,"Mase, George Thomas.",1999,"CRC Press,",c1999.,QA808.2 .M364 1999,13,9/28/2010 14:44
b27352006,Analytical dynamics / Haim Baruh.,"Baruh, Haim.",1999,"WCB/McGraw-Hill,",c1999.,QA845 .B38 1999,15,10/11/2010 11:15
b30471345,Classical dynamics of particles and systems.,"Thornton, Stephen T.",2004,"Brooks/Cole,",c2004.,QA845 .T45 2004,12,4/16/2013 11:14
b31887624,"Fluid mechanics / Pijush K. Kundu, Ira M. Cohen   with a chapter on computational fluid dynamics by Howard H. Hu.","Kundu, Pijush K.",2004,"Elsevier Academic Press,",c2004.,QA901 .K86 2004,12,2/5/2014 11:41
b41518792,"Fluid mechanics / Pijush K. Kundu, Ira M. Cohen   with contributions by P.S. Ayyaswamy and H.H. Hu.","Kundu, Pijush K.",2008,"Academic Press,",c2008.,QA901 .K86 2008,16,4/24/2014 11:25
b23482850,"Computational fluid dynamics : the basics with applications / John D. Anderson, Jr","Anderson, John David.",1995,"McGraw-Hill,",1995,QA911 .A58 1995,20,1/14/2014 11:35
b23801335,Fundamental equations of fluid mechanics / Klaus A. Hoffmann [et al.].,,1996,"Engineering Education System,",c1996.,QA911 .H546 1996,10,1/18/2010 16:29
b24199163,"Schaum's outline of theory and problems of fluid dynamics / William F. Hughes, John A. Brighton.","Hughes, William F. (William Frank), 1930-",1991,"McGraw-Hill,",c1991.,QA911 .H84 1991,13,1/11/2010 11:34
b26215354,Engineering fluid dynamics : an interdisciplinary systems approach / Clement Kleinstreuer.,"Kleinstreuer, C.",1997,"Cambridge University Press,",1997,QA911 .K57 1997,10,10/14/2013 11:40
b12663487,Theory of elasticity [by] S. P. Timoshenko [and] J. N. Goodier,"Timoshenko, Stephen, 1878-1972.",1969,"McGraw-Hill,","1969, c1970",QA931 .T55 1970,14,9/30/2013 11:51
b23610517,"Optical properties of metal clusters / Uwe Kreibig, Michael Vollmer","Kreibig, Uwe, 1939-",1995,"Springer,",c1995,QC173.4.M48 K74 1995,11,6/2/2010 10:26
b36837386,"Lattice Boltzmann modeling : an introduction for geoscientists and engineers / Michael C. Sukop, Daniel T. Thorne, Jr.","Sukop, Michael C.",2006,"Springer,",c2006.,QC175.16.B6 S84 2006,10,1/21/2014 17:44
b28566488,Electronic properties of materials / Rolf E. Hummel.,"Hummel, Rolf E., 1934-",2001,"Springer,",c2001.,QC176 .H86 2001,14,1/27/2013 19:31
b23605716,Introduction to solid state physics / Charles Kittel,Charles Kittel.,1996,"Wiley,",c1996,QC176 .K5 1996,41,10/3/2013 14:43
b12288214,Solid state physics for engineering and materials science / John P. McKelvey,"McKelvey, John Philip.",1993,"Krieger Pub. Co.,",1993,QC176 .M38 1993,22,10/5/2012 15:06
b23330661,Diffusion in solids / Paul Shewmon,"Shewmon, Paul G.",1989,"Minerals, Metals & Materials Society,",c1989,QC176.8.D5 S54 1989,15,1/31/2012 17:36
b27206609,Mathematical physics : a modern introduction to its foundations / Sadri Hassani.,"Hassani, Sadri.",1999,"Springer,",c1999.,QC20 .H394 1999,58,9/23/2013 9:08
b13232800,Methods of theoretical physics [by] Philip M. Morse [and] Herman Feshbach,"Morse, Philip M. (Philip McCord), 1903-1985.",1953,"McGraw-Hill,",1953,QC20 .M6,10,11/5/2012 11:04
b23984272,Concepts of modern physics / Arthur Beiser.,"Beiser, Arthur.",1995,"McGraw-Hill,",c1995.,QC21.2 .B448 1995,91,10/24/2010 23:02
b24165414,How things work : the physics of everyday life / Louis A. Bloomfield.,"Bloomfield, Louis.",1997,"J. Wiley,",c1997.,QC21.2 .B59 1997,22,1/11/2011 16:48
b23373325,"Fundamentals of physics / David Halliday, Robert Resnick, Jearl Walker","Halliday, David, 1916-2010.",1993,"Wiley,",c1993,QC21.2 .H35 1993,16,4/4/2012 13:21
b15708731,Heat transfer / Adrian Bejan,"Bejan, Adrian, 1948-",1993,"John Wiley & Sons, Inc.,",c1993,QC320 .B44 1993,11,1/14/2010 19:18
b29294769,Heat transfer / J.P. Holman.,"Holman, J. P. (Jack Philip)",2002,"McGraw-Hill,",c2002.,QC320 .H64 2002,10,8/19/2010 11:49
b37234328,Fundamentals of heat and mass transfer / Frank P. Incropera ... [et al.].,"Incropera, Frank P.",2007,"John Wiley,",c2007.,QC320 .I45 2007,16,9/4/2012 10:02
b37428615,Introduction to heat transfer / Frank P. Incropera ... [et al.].,,2007,"Wiley,",c2007.,QC320 .I46 2007,10,6/30/2014 12:38
b23881070,Conduction of heat in solids / by H.S. Carslaw and J.C. Jaeger.,"Carslaw, H. S. (Horatio Scott), 1870-1954.",1986,"Clarendon Press  ;""Oxford University Press,""","1986, c1959.",QC321 .C28 1986,22,10/3/2011 11:32
b23841722,Introduction to Fourier optics / Joseph W. Goodman.,"Goodman, Joseph W.",1996,"McGraw-Hill,",1996,QC355 .G65 1996,20,6/26/2012 10:59
b26904536,Electromagnetics : with applications / John D. Kraus and Daniel A. Fleisch   with a chapter on  Electromagnetic effects in high speed digital systems  by Samuel H. Russ.,"Kraus, John Daniel, 1910-2004.",1999,"WCB/McGraw-Hill,",1999,QC661 .K72 1999,15,12/6/2012 12:19
b26514527,"Hysteresis in magnetism : for physicists, materials scientists, and engineers / Giorgio Bertotti.","Bertotti, Giorgio.",1998,"Academic Press,",c1998.,QC754.2.H9 B47 1998,19,11/17/2011 15:29
